Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
सत्य_अन्वेषी,@iAK1707,2024-10-13T06:57:09.000Z,True,"So basically this news was not highlighted due to obvious reasons. International cricket has made a historic return to #Kashmir after a 40-year hiatus, with the Legends League Cricket 2024 tournament being held at Srinagar's Bakshi Stadium. This marks a significant milestone",36,98,94,1.5K,['#Kashmir'],[],[],https://pbs.twimg.com/profile_images/1743966614020923392/e5akA-si_normal.jpg,https://x.com/iAK1707/status/1845358096090116412,tweet_id:1845358096090116412
❀ ✿,@wintertaeta2,2024-10-09T22:17:48.000Z,True,"Taehyung News Today

09.10.2024Corporal Taehyung on the 8pm news for attending citizen orchestraTaehyung chosen as representative of Korea at Meetings of Styles International Street Art & Graffiti Festival held in TaiwanLayover reentered Billboard Japan Hot Albums",5,281,878,10K,[],[],"['\\u2728', '\\U0001f5de\\ufe0f', '\\u2728', '\\U0001f3a8', '\\u2728']",https://pbs.twimg.com/profile_images/1836889065800552448/ehmYtKRp_normal.jpg,https://x.com/wintertaeta2/status/1844140233329344521,tweet_id:1844140233329344521
Kada ✩‧₊ ˚ ♡ BOYCOTT RIIZE & SM,@kadachuu,2024-10-14T19:26:55.000Z,False,GUYS IT’S WORKING WE’RE REACHING INTERNATIONAL NEWS TOO!!!,974,7.3K,26K,536K,[],[],[],https://pbs.twimg.com/profile_images/1845867537709350912/UA3PeXNz_normal.jpg,https://x.com/kadachuu/status/1845909165534851263,tweet_id:1845909165534851263
Can Yaman News International,@CanYamanNewsInt,2024-10-16T08:27:57.000Z,True,The unique #CanYaman :7Corriere,6,61,159,3.1K,['#CanYaman'],[],['\\U0001f4fc'],https://pbs.twimg.com/profile_images/1711962376877092864/nMBqa8OV_normal.jpg,https://x.com/CanYamanNewsInt/status/1846468110745841741,tweet_id:1846468110745841741
CFCBlueNews,@CFCBlueNews,2024-10-14T14:45:58.000Z,True," BREAKING: Romeo Lavia is set to start alongside Caciedo against Liverpool as Enzo Fernandez and Caciedo can’t start together due to late arrivals and international break fatigue . 

      #cfc",29,70,840,9.1K,['#cfc'],[],['\\U0001f6a8'],https://pbs.twimg.com/profile_images/1742893356663865344/IncNUVRY_normal.jpg,https://x.com/CFCBlueNews/status/1845838463892877621,tweet_id:1845838463892877621
Can Yaman News International,@CanYamanNewsInt,2024-10-09T17:50:09.000Z,True,Welcome back Brazilian fans of #CanYaman ,26,50,144,2.7K,['#CanYaman'],[],['\\U0001f64f'],https://pbs.twimg.com/profile_images/1711962376877092864/nMBqa8OV_normal.jpg,https://x.com/CanYamanNewsInt/status/1844072877466976360,tweet_id:1844072877466976360
Dr Tess Lawrie,@lawrie_dr,2024-10-10T06:51:07.000Z,True,"GOOD NEWS: 
It seems like no one in Japan wants to take the self-replicating mRNA shots. WCH has heard that even the nursing homes don't want to apply them. 

The Japan WCH Coalition would like to say a special thank you to the international speakers at the recent #ICS6 event in",134,2.3K,5.2K,337K,['#ICS6'],[],[],https://pbs.twimg.com/profile_images/1650426153465700353/WGIxellJ_normal.jpg,https://x.com/lawrie_dr/status/1844269413060444433,tweet_id:1844269413060444433
Global Opinion,@GlobalOpin56937,2024-10-14T20:01:54.000Z,False,GO NEWS con las noticias internacionales de hoy. #israel #urgente,0,1,1,120,"['#israel', '#urgente']",[],[],https://pbs.twimg.com/profile_images/1770153048737792000/wC3g9Lcs_normal.jpg,https://x.com/GlobalOpin56937/status/1845917973137314299,tweet_id:1845917973137314299
Daily Tribune,@tribunephl,2024-10-10T19:32:21.000Z,True,"Today's World Stories:

Zelensky scours Europe for military aid

Read more at: https://tribune.net.ph/2024/10/10/zelensky-scours-europe-for-military-aid…EU mulls deportation hubs to stem migration

Read more at: https://tribune.net.ph/2024/10/10/eu-mulls-deportation-hubs-to-stem-migration…",0,0,0,71,[],[],[],https://pbs.twimg.com/profile_images/1525881192611885056/WbTyqWW4_normal.jpg,https://x.com/tribunephl/status/1844460981965275362,tweet_id:1844460981965275362
Global Opinion,@GlobalOpin56937,2024-10-10T19:14:26.000Z,False,GO NEWS con las noticias internacionales de hoy. #HuracanMilton  #URGENTE,0,1,1,228,"['#HuracanMilton', '#URGENTE']",[],[],https://pbs.twimg.com/profile_images/1770153048737792000/wC3g9Lcs_normal.jpg,https://x.com/GlobalOpin56937/status/1844456473855918555,tweet_id:1844456473855918555
Global Opinion,@GlobalOpin56937,2024-10-14T20:07:10.000Z,False,GO NEWS con las noticias internacionales de hoy. #israel #urgente #onu,0,0,0,89,"['#israel', '#urgente', '#onu']",[],[],https://pbs.twimg.com/profile_images/1770153048737792000/wC3g9Lcs_normal.jpg,https://x.com/GlobalOpin56937/status/1845919297652379825,tweet_id:1845919297652379825
The Telegraph,@Telegraph,2024-10-12T21:01:54.000Z,True," The drums of global jihadism are again sounding around the world

Find out more https://telegraph.co.uk/world-news/2024/10/12/the-return-of-al-qaeda-and-islamic-state/…",6,13,21,13K,[],[],"['\\U0001f534', '\\u2b07\\ufe0f']",https://pbs.twimg.com/profile_images/1605188195574026240/XDJv944l_normal.png,https://x.com/Telegraph/status/1845208296627593429,tweet_id:1845208296627593429
International Times,@intltimes,2024-10-16T05:59:42.000Z,False,In search of a Newfound lifehttps://internationaltimes.it/in-search-of-a-newfound-life/…©Gopal Lahiri,1,0,2,145,[],[],[],https://pbs.twimg.com/profile_images/1747429689/Picture_2_normal.png,https://x.com/intltimes/status/1846430799849046232,tweet_id:1846430799849046232
World News Tonight,@ABCWorldNews,2024-10-11T15:11:31.000Z,True,"Nihon Hidankyo, a Japanese anti-nuclear weapons group, has won the Nobel Peace Prize for its work toward the abolition of nuclear weapons.

Read more: https://trib.al/vQcTh1F",7,14,27,4.2K,[],[],[],https://pbs.twimg.com/profile_images/1424776196940869634/F-kiM3On_normal.jpg,https://x.com/ABCWorldNews/status/1844757730503934343,tweet_id:1844757730503934343
US Civil Defense News,@CaptCoronado,2024-10-11T02:05:35.000Z,True,Update: Russia calls on BRICS partners to create an alternative to the International Monetary Fund (IMF) to counter political pressure from Western nations.,12,54,224,11K,[],[],['\\U0001f6a8'],https://pbs.twimg.com/profile_images/1626215221349208066/vpOEZWC4_normal.jpg,https://x.com/CaptCoronado/status/1844559942503534641,tweet_id:1844559942503534641
Amnesty International,@amnesty,2024-10-08T13:59:06.000Z,True,"The Pakistan government’s ban on the Pashtun Tahaffuz Movement and the use of anti-terrorism laws to target activists and peaceful protesters from minority groups is an affront on the rights to freedom of association and peaceful assembly.

Read more ",151,903,1.5K,86K,[],[],['\\U0001f447'],https://pbs.twimg.com/profile_images/1103357372410617856/0V1h5QGq_normal.png,https://x.com/amnesty/status/1843652344300409119,tweet_id:1843652344300409119
Brett,@Brett_Crypto_X,2024-10-14T10:42:58.000Z,True,Major Announcement #XRPCommunitySave the date: October 22! BRICS is poised to declare $XRP as the foundation of their new international payment system!#XRPTheStandard,30,248,720,37K,"['#XRPCommunity', '#XRPTheStandard', '']",[''],"['\\U0001f6a8', '\\U0001f6a8', '\\U0001f680']",https://pbs.twimg.com/profile_images/1837211152427696128/GHjkuRy__normal.jpg,https://x.com/Brett_Crypto_X/status/1845777310948974877,tweet_id:1845777310948974877
Sphithiphithi Evaluator,@_AfricanSoil,2024-03-12T18:44:57.000Z,True,"Global | Ok, let's go through international news quickly:

1. Presidential elections are underway in Russia. President Vladimir Putin will win (75-80%)

2. France made stupid, weak war threats against Russia and quickly retreated because they remembered they actually don't have",28,112,354,31K,[],[],['\\u26a1\\ufe0f'],https://pbs.twimg.com/profile_images/1563778016836308993/y0vyihsV_normal.jpg,https://x.com/_AfricanSoil/status/1767622826679267721,tweet_id:1767622826679267721
Channel 4 News,@Channel4News,2024-10-14T17:08:21.000Z,True,"""We're turning this economy around"" - Chancellor Rachel Reeves tells us, as the government announces £63 billion of investment and nearly 38,000 jobs for the UK at the International Investment Summit.",770,195,572,88K,[],[],[],https://pbs.twimg.com/profile_images/875404558528393216/cTknVhwm_normal.jpg,https://x.com/Channel4News/status/1845874295807135752,tweet_id:1845874295807135752
Geraldine,@G_chumy,2024-10-16T14:56:08.000Z,True,"Chelsea fans, we got to celebrate!
Imagine an international break is over; no bad news about our players.

Reece James and Lavia out of this bed. First time for the past 2 seasons, the hospital bed is empty.",24,13,57,2.4K,[],[],[],https://pbs.twimg.com/profile_images/1823965016585871360/Lt55TiM-_normal.jpg,https://x.com/G_chumy/status/1846565797239402810,tweet_id:1846565797239402810
All India Radio News,@airnewsalerts,2024-10-16T07:07:36.000Z,True,"India is hosting the 19th International Conference of Drug Regulatory Authorities (ICDRA); MoS Health  says, ""120 member states regulatory authorities participating in this conference. Our aim is to facilitate discussions among drug regulators from around the world",2,15,51,5.6K,[],['@AnupriyaSPatel'],[],https://pbs.twimg.com/profile_images/1554332392952713216/n2eh2njK_normal.jpg,https://x.com/airnewsalerts/status/1846447886151843989,tweet_id:1846447886151843989
Pakistan Armed Forces News,@PakistanFauj,2024-10-08T18:08:21.000Z,True,"The Strategic Vision Institute (SVI), Islamabad, hosted Islamabad Non-Proliferation Conference 2024, #PakistanArmy #Pakistan #ISPRA two-day international event bringing together a distinguished group of scholars and experts from around the world. 

The conference aimed at",53,143,285,6.7K,"['#PakistanArmy', '#Pakistan', '#ISPR']",[],[],https://pbs.twimg.com/profile_images/1653326522432860163/tGLDJSM4_normal.jpg,https://x.com/PakistanFauj/status/1843715069932175829,tweet_id:1843715069932175829
Somoy TV,@somoytv,2024-10-14T12:28:14.000Z,True,"দীর্ঘ ছয় বছর পর অবশেষে রাষ্ট্রপতি শাসন প্রত্যাহার করা হলো ভারতের জম্মু ও কাশ্মীর থেকে। সেখানে এবার গণতান্ত্রিক সরকার গঠন করা হবে।

বিস্তারিত : https://somoynews.tv/news/2024-10-14/vZQVAJw5…#InternationalNews #news #somoytv",5,18,453,9.1K,"['#InternationalNews', '#news', '#somoytv']",[],[],https://pbs.twimg.com/profile_images/1382563547469676544/U70E7-PZ_normal.jpg,https://x.com/somoytv/status/1845803800327807183,tweet_id:1845803800327807183
Daily Tribune,@tribunephl,2024-10-12T18:17:37.000Z,True,"Today's World Stories:

‘Milton’ leaves at least 16 d*ad, millions without power

Read more at: https://tribune.net.ph/2024/10/12/milton-leaves-at-least-16-dead-millions-without-power…Israel observes Yom Kippur amid diplomatic backlash

Read more at: https://tribune.net.ph/2024/10/12/israel-observes-yom-kippur-amid-diplomatic-backlash…",0,0,0,120,[],[],[],https://pbs.twimg.com/profile_images/1525881192611885056/WbTyqWW4_normal.jpg,https://x.com/tribunephl/status/1845166952442102225,tweet_id:1845166952442102225
Can Yaman News International,@CanYamanNewsInt,2024-10-14T18:39:53.000Z,True,"| Bestmovie  Magazine - Italy 

It had been a while since we saw him in a public outing. And here it is, #CanYaman, at the Italian premiere of Francis Ford Coppola's ""Megalopolis"". Waiting for the #Sandokan.",9,120,245,8.4K,"['#CanYaman', '#Sandokan']",[],"['\\U0001f1ee\\U0001f1f9', '\\U0001f5de\\ufe0f']",https://pbs.twimg.com/profile_images/1711962376877092864/nMBqa8OV_normal.jpg,https://x.com/CanYamanNewsInt/status/1845897330106495071,tweet_id:1845897330106495071
Michael J Wyllie,@michaelJwyllie,2024-10-09T23:19:48.000Z,False,"ABC news:  says Israel is not complying with international law when bombing hospitals and starving children in Gaza.

He would make a good PM",169,331,1.3K,18K,[],['@JasonClareMP'],['\\U0001f44d'],https://pbs.twimg.com/profile_images/1652926259452837890/qdmMRMVM_normal.png,https://x.com/michaelJwyllie/status/1844155836974891046,tweet_id:1844155836974891046
5TARS.io,@5tarsGame,2024-10-08T12:00:15.000Z,True,"Big news from 5TARS! To mark the international break, we’re kicking off a special Penalty Shootout Tournament with a prize pool of 750 STARCOINS for the top scorers of the week! 

Ready to prove your skills and take home the win? Visit https://5tars.io/penalties, start hitting those",32,22,95,2.5K,[],[],[],https://pbs.twimg.com/profile_images/1505980134356131841/V_4hPZPR_normal.png,https://x.com/5tarsGame/status/1843622434231960046,tweet_id:1843622434231960046
Chum(ちゃむ),@ca970008f4,2024-10-11T12:40:22.000Z,True,"初めての石破外交の反応

中国の評価
→関係改善に「期待感」

韓国の評価
→関係の持続的改善に「青信号」

アジア各国の受け止め
→アジア版NATOに警戒してたけど、
　なかったから「無難な滑り出し」

政府関係者
→「無難な外交デビュー」",16,163,906,112K,[],[],[],https://pbs.twimg.com/profile_images/1595976021547048960/ec09nJZz_normal.jpg,https://x.com/ca970008f4/status/1844719692587667624,tweet_id:1844719692587667624
Somoy TV,@somoytv,2024-10-08T17:22:18.000Z,True,"লেবাননের স'শ'স্ত্র গোষ্ঠী হি'জ'বু'ল্লা'হ ই'স'রা'ই'লে'র বন্দর শহর হাইফায় এখন পর্যন্ত সবচেয়ে বড় রকেট হা'ম'লা চালিয়েছে

বিস্তারিত: https://somoynews.tv/news/2024-10-08/9QX1AZ1T…#internationalnews #newsupdate #somoytv",6,6,357,5.5K,"['#internationalnews', '#newsupdate', '#somoytv']",[],[],https://pbs.twimg.com/profile_images/1382563547469676544/U70E7-PZ_normal.jpg,https://x.com/somoytv/status/1843703477987619172,tweet_id:1843703477987619172
Excélsior,@Excelsior,2024-10-16T12:49:59.000Z,True, La información internacional más relevante del día la encontrarás en nuestra portada de #Global   http://excelsior.com.mx/global,0,4,2,1.7K,['#Global'],[],['\\U0001f30e'],https://pbs.twimg.com/profile_images/1846644679476916224/5N000R_M_normal.jpg,https://x.com/Excelsior/status/1846534050737004728,tweet_id:1846534050737004728
IdeallyaNews,@IdeallyaNews,2024-10-11T09:00:41.000Z,True,The Nobel Peace Prize is being announced against a backdrop of conflicts around the world #Being #International #Peace #World,0,0,0,34,"['#Being', '#International', '#Peace', '#World']",[],[],https://pbs.twimg.com/profile_images/1452730634011615232/r20wKOdk_normal.jpg,https://x.com/IdeallyaNews/status/1844664406845591888,tweet_id:1844664406845591888
Can Yaman News International,@CanYamanNewsInt,2024-10-15T09:00:20.000Z,True,#CanYaman ,5,84,239,2.6K,['#CanYaman'],[],"['\\U0001f4a5', '\\U0001f4a5', '\\U0001f4a5']",https://pbs.twimg.com/profile_images/1711962376877092864/nMBqa8OV_normal.jpg,https://x.com/CanYamanNewsInt/status/1846113869657211202,tweet_id:1846113869657211202
Maimunka News,@MaimunkaNews,2024-10-11T15:37:08.000Z,True," Vladimir #Putin arrived in Ashgabat. In the capital of Turkmenistan, the #Russian President will take part in the international forum ""Interconnection of Times and Civilizations"".

Putin is the only one who drove a black car through ""white"" Ashgabat

Since January 2018, the",7,50,331,6.8K,"['#Putin', '#Russian']",[],"['\\u203c\\ufe0f', '\\U0001f1f7\\U0001f1fa']",https://pbs.twimg.com/profile_images/1768203155659956224/3BQkzI1N_normal.jpg,https://x.com/MaimunkaNews/status/1844764177384030357,tweet_id:1844764177384030357
UN Women,@UN_Women,2024-10-14T22:01:06.000Z,True,"On International Day of Rural Women we recognize their critical contributions.#RuralWomen, including Indigenous women: Enhance agricultural & rural development Improve food security & nutrition Help eradicate poverty

Our statement: http://unwo.men/APUG50TLbzf#Beijing30",34,279,608,47K,"['#RuralWomen', '#Beijing30']",[],"['\\U0001f44f', '\\U0001f49a', '\\U0001f49a', '\\U0001f49a']",https://pbs.twimg.com/profile_images/1401969804496486401/8Va-Ar11_normal.jpg,https://x.com/UN_Women/status/1845947968144171248,tweet_id:1845947968144171248
Amnesty International,@amnesty,2024-10-11T12:09:43.000Z,True,"The violence in Haiti is devastating, and children are paying the price.

Amnesty has documented heartbreaking stories of children forced to work for gangs under threats of violence.

The desperation of their situation is disturbing.

Read more ",3,77,130,8.5K,[],[],['\\U0001f447'],https://pbs.twimg.com/profile_images/1103357372410617856/0V1h5QGq_normal.png,https://x.com/amnesty/status/1844711980042518638,tweet_id:1844711980042518638
World Affairs,@naziakhan455,2024-10-10T17:25:07.000Z,True,"BREAKING NEWSJoe Biden says that Iran is now crossing its limits , violating international law and breaking rules of NPT by producing missiles",2.2K,1K,5.4K,232K,[],[],"['\\u26a0\\ufe0f', '\\u26a0\\ufe0f']",https://pbs.twimg.com/profile_images/1780198345727721472/fLn7OiLn_normal.jpg,https://x.com/naziakhan455/status/1844428964015767778,tweet_id:1844428964015767778
Action News 5,@WMCActionNews5,2024-10-16T00:41:24.000Z,False,MASS LAYOFFSThe world’s leading producer of fiber-based products has announced layoffs affecting hundreds of its workers at its headquarters in Memphis. https://tinyurl.com/28cvvq35,11,17,25,9.5K,[],[],"['\\U0001f6a8', '\\U0001f6a8']",https://pbs.twimg.com/profile_images/1643742895378161665/mTV4oeMH_normal.jpg,https://x.com/WMCActionNews5/status/1846350696720842870,tweet_id:1846350696720842870
Can Yaman News International,@CanYamanNewsInt,2024-10-14T20:08:14.000Z,True,#CanYaman charisma ,11,112,273,3.2K,['#CanYaman'],[],"['\\U0001f4a5', '\\U0001f4a5', '\\U0001f4a5']",https://pbs.twimg.com/profile_images/1711962376877092864/nMBqa8OV_normal.jpg,https://x.com/CanYamanNewsInt/status/1845919565638668491,tweet_id:1845919565638668491
Swaziland News,@SwaziNews,2024-10-13T16:19:39.000Z,False,Former South African President Jacob Zuma’s daughter Nomcebo(21) takes first international trip with husband King Mswati after being introduced to the Nation.http://swazilandnews.co.za/fundza.php?nguyiphi=7553…,326,904,4.9K,1.9M,[],[],[],https://pbs.twimg.com/profile_images/1833830233213931520/zulNXzkf_normal.jpg,https://x.com/SwaziNews/status/1845499654278103112,tweet_id:1845499654278103112
Excélsior,@Excelsior,2024-10-12T12:49:59.000Z,True,La información internacional más relevante del día la encontrarás en nuestra portada de #Global http://excelsior.com.mx/global ¡#FelizSábado!,0,4,4,2.7K,"['#Global', '#FelizSábado']",[],['\\U0001f30e'],https://pbs.twimg.com/profile_images/1846644679476916224/5N000R_M_normal.jpg,https://x.com/Excelsior/status/1845084499475849285,tweet_id:1845084499475849285
Amnesty International,@amnesty,2024-10-11T17:10:16.000Z,True,"To be effective, an evacuation warning must be timely and provide civilians information on safe routes and destinations. Civilians must be protected. 

Learn more: http://amn.st/6016UfbGs",31,174,277,77K,[],[],[],https://pbs.twimg.com/profile_images/1103357372410617856/0V1h5QGq_normal.png,https://x.com/amnesty/status/1844787613808402642,tweet_id:1844787613808402642
Can Yaman News International,@CanYamanNewsInt,2024-10-14T20:03:20.000Z,True,"| Birsen Altuntas - # CanYaman is the special guest of the premiere of #Coppola's new film Megalopolis.#CanYaman, who successfully continues his acting career in Italy, attended the premiere of the movie #Megalopolis this evening, attended by one of the legendary directors",20,138,388,5.2K,"['#Coppola', '#CanYaman', '#Megalopolis']",[],"['\\U0001f1f9\\U0001f1f7', '\\U0001f5de\\ufe0f']",https://pbs.twimg.com/profile_images/1711962376877092864/nMBqa8OV_normal.jpg,https://x.com/CanYamanNewsInt/status/1845918332215611762,tweet_id:1845918332215611762
Reuters Science News,@ReutersScience,2024-10-16T22:15:06.000Z,True,"Countries need a new international pact to fix a mounting water crisis that could cut economic growth by at least 8% and put half the world's food supplies at risk by 2050, an OECD-backed commission said on Thursday. http://reut.rs/3NpBxT0",1,5,5,2.2K,[],[],[],https://pbs.twimg.com/profile_images/1151221802435325953/72h20MPM_normal.jpg,https://x.com/ReutersScience/status/1846676269678621032,tweet_id:1846676269678621032
Bitcoin.com News,@BTCTN,2024-10-08T08:00:00.000Z,True,". suggests that as the global GDP of current economic leaders like the US, EU, UK, and Japan declines, their competitors will rise, leading to more international trades being settled in #bitcoin ",21,13,23,9.7K,['#bitcoin'],['@vaneck_us'],['\\u2b07\\ufe0f'],https://pbs.twimg.com/profile_images/1651108008200482816/EJc2IcUa_normal.jpg,https://x.com/BTCTN/status/1843561971133640930,tweet_id:1843561971133640930
LetThereBeLightMedia,@let_media,2024-10-11T13:09:43.000Z,False,MAJOR BREAKING NEWS:   IRAQ + WTO = Preparing to Go INTERNATIONAL https://youtu.be/CIMojf2Eafc?si=ypU8vfDFT2QlzrGr… via ,0,1,1,14,[],['@YouTube'],['\\U0001f6a8'],https://pbs.twimg.com/profile_images/773653515285639168/c7Jq3jEZ_normal.jpg,https://x.com/let_media/status/1844727077704024088,tweet_id:1844727077704024088
Amba News Line,@amba_newsline,2024-10-09T04:59:16.000Z,True,It is shameful that the Cameroun brutal dictator and a tyrant  is allowed to go free by the international community for crimes against humanity and war crime in Ambazonia until his death. What explains this hypocrisy? Of course colonial interest in Ambazonia by world,3,135,156,2.3K,[],['@PR_Paul_BIYA'],[],https://pbs.twimg.com/profile_images/1832607208749625344/zIiO85J9_normal.jpg,https://x.com/amba_newsline/status/1843878875115250057,tweet_id:1843878875115250057
Bitcoin.com News,@BTCTN,2024-10-10T08:00:00.000Z,True,".  talks about how the U.S. dollar's role in the global financial system is stronger than ever, functioning like a de facto #CBDC due to its unparalleled international infrastructure and acceptance ",23,7,12,9.7K,['#CBDC'],['@_dsencil'],['\\u2b07\\ufe0f'],https://pbs.twimg.com/profile_images/1651108008200482816/EJc2IcUa_normal.jpg,https://x.com/BTCTN/status/1844286746734821393,tweet_id:1844286746734821393
Committee to Protect Journalists,@pressfreedom,2024-10-09T23:00:13.000Z,True,"During any conflict, journalists are civilians under international humanitarian law. 

Facilities and equipment utilized for reporting and disseminating news are also civilian structures.

They must be respected and protected.

Journalists are #NotATarget.",9,57,81,42K,['#NotATarget'],[],[],https://pbs.twimg.com/profile_images/1192918698329329664/Hv-Npmx1_normal.jpg,https://x.com/pressfreedom/status/1844150904900944235,tweet_id:1844150904900944235
